order_id,order_date,region,category,quantity,unit_price,discount,order_date_display,quantity_before_winsor,unit_price_before_winsor,sales_amount,order_year,order_month,category_name_ko,category_group
ORD-000000,,Busan,Beauty,6,12609.0,0.0,Unknown,6,12609.0,75654.0,,,뷰티,소비재
ORD-000001,2025-04-08,Busan,Home,1,262252.0,0.05,2025-04-08,1,262252.0,249139.4,2025,4,생활용품,내구재
ORD-000002,2025-03-01,Gwangju,Beauty,3,34466.0,0.15,2025-03-01,3,34466.0,87888.3,2025,3,뷰티,소비재
ORD-000003,2025-01-11,Seoul,Electronics,3,127645.0,0.0,2025-01-11,3,127645.0,382935.0,2025,1,전자제품,내구재
ORD-000004,2025-04-16,Busan,Beauty,3,46037.0,0.0,2025-04-16,3,46037.0,138111.0,2025,4,뷰티,소비재
ORD-000005,2025-03-22,Busan,Beauty,3,53570.0,0.0,2025-03-22,3,53570.0,160710.0,2025,3,뷰티,소비재
ORD-000006,2025-03-26,Busan,Food,1,213160.0,0.0,2025-03-26,1,213160.0,213160.0,2025,3,식품,식품
ORD-000007,2025-01-10,Daegu,Home,16,67469.0,0.1,2025-01-10,1626,67469.0,971553.6,2025,1,생활용품,내구재
ORD-000008,2025-01-23,Gwangju,Food,6,148304.0,0.0,2025-01-23,6,148304.0,889824.0,2025,1,식품,식품
ORD-000009,2025-02-05,Seoul,Food,10,150472.0,0.05,2025-02-05,10,150472.0,1429484.0,2025,2,식품,식품
ORD-000010,2025-04-24,Incheon,Home,7,153996.5,0.0,2025-04-24,7,153996.5,1077975.5,2025,4,생활용품,내구재
ORD-000011,2025-03-12,Daegu,Food,6,212470.0,0.15,2025-03-12,6,212470.0,1083597.0,2025,3,식품,식품
ORD-000012,2025-03-24,Seoul,Electronics,1,212602.0,0.0,2025-03-24,1,212602.0,212602.0,2025,3,전자제품,내구재
ORD-000013,2025-04-20,Incheon,Electronics,9,53312.0,0.0,2025-04-20,9,53312.0,479808.0,2025,4,전자제품,내구재
ORD-000014,2025-02-12,Seoul,Food,5,252385.0,0.0,2025-02-12,5,252385.0,1261925.0,2025,2,식품,식품
ORD-000015,2025-01-03,Daegu,Electronics,3,174683.0,0.1,2025-01-03,3,174683.0,471644.1,2025,1,전자제품,내구재
ORD-000016,2025-02-28,Seoul,Fashion,8,119993.0,0.1,2025-02-28,8,119993.0,863949.6,2025,2,패션,소비재
ORD-000017,2025-03-14,Seoul,Fashion,1,8985.0,0.0,2025-03-14,1,8985.0,8985.0,2025,3,패션,소비재
ORD-000018,2025-02-15,Daegu,Electronics,10,107341.0,0.15,2025-02-15,10,107341.0,912398.5,2025,2,전자제품,내구재
ORD-000019,2025-01-11,Incheon,Food,7,280292.0,0.0,2025-01-11,7,280292.0,1962044.0,2025,1,식품,식품
ORD-000020,2025-01-15,Seoul,Food,10,234387.0,0.0,2025-01-15,10,234387.0,2343870.0,2025,1,식품,식품
ORD-000021,2025-02-17,Daegu,Fashion,10,239159.0,0.1,2025-02-17,10,239159.0,2152431.0,2025,2,패션,소비재
ORD-000022,2025-03-06,Gwangju,Beauty,6,288007.0,0.0,2025-03-06,6,288007.0,1728042.0,2025,3,뷰티,소비재
ORD-000023,2025-04-13,Gwangju,Home,7,229802.0,0.0,2025-04-13,7,229802.0,1608614.0,2025,4,생활용품,내구재
ORD-000024,2025-03-31,Busan,Food,8,135378.0,0.15,2025-03-31,8,135378.0,920570.4,2025,3,식품,식품
ORD-000025,2025-04-27,Daegu,Food,2,38896.0,0.0,2025-04-27,2,38896.0,77792.0,2025,4,식품,식품
ORD-000026,2025-02-04,Busan,Fashion,8,187275.0,0.05,2025-02-04,8,187275.0,1423290.0,2025,2,패션,소비재
ORD-000027,2025-01-10,Incheon,Fashion,3,200444.0,0.0,2025-01-10,3,200444.0,601332.0,2025,1,패션,소비재
ORD-000028,2025-01-02,Incheon,Electronics,10,43969.0,0.0,2025-01-02,10,43969.0,439690.0,2025,1,전자제품,내구재
ORD-000029,2025-01-30,Daegu,Fashion,6,17440.0,0.15,2025-01-30,6,17440.0,88944.0,2025,1,패션,소비재
ORD-000030,2025-03-31,Gwangju,Electronics,3,63095.0,0.0,2025-03-31,3,63095.0,189285.0,2025,3,전자제품,내구재
ORD-000031,2025-02-22,Incheon,Electronics,3,99800.0,0.0,2025-02-22,3,99800.0,299400.0,2025,2,전자제품,내구재
ORD-000032,2025-01-22,Incheon,Food,5,126204.0,0.1,2025-01-22,5,126204.0,567918.0,2025,1,식품,식품
ORD-000033,2025-04-16,Busan,Food,7,181139.0,0.0,2025-04-16,7,181139.0,1267973.0,2025,4,식품,식품
ORD-000034,2025-03-09,Busan,Home,8,51825.0,0.05,2025-03-09,8,51825.0,393870.0,2025,3,생활용품,내구재
ORD-000035,2025-02-10,Gwangju,Electronics,3,15399.0,0.0,2025-02-10,3,15399.0,46197.0,2025,2,전자제품,내구재
ORD-000036,2025-03-18,Seoul,Food,10,83798.0,0.05,2025-03-18,10,83798.0,796081.0,2025,3,식품,식품
ORD-000037,2025-02-25,Incheon,Home,2,280275.0,0.0,2025-02-25,2,280275.0,560550.0,2025,2,생활용품,내구재
ORD-000038,2025-01-13,Busan,Fashion,6,145929.0,0.0,2025-01-13,6,145929.0,875574.0,2025,1,패션,소비재
ORD-000039,2025-03-14,Unknown,Food,3,184236.0,0.0,2025-03-14,3,184236.0,552708.0,2025,3,식품,식품
ORD-000040,2025-04-08,Incheon,Fashion,4,164765.0,0.15,2025-04-08,4,164765.0,560201.0,2025,4,패션,소비재
ORD-000041,2025-01-22,Incheon,Fashion,6,182841.0,0.1,2025-01-22,6,182841.0,987341.4,2025,1,패션,소비재
ORD-000042,2025-04-06,Daegu,Electronics,4,169414.0,0.05,2025-04-06,4,169414.0,643773.2,2025,4,전자제품,내구재
ORD-000043,2025-03-18,Busan,Beauty,1,38699.0,0.0,2025-03-18,1,38699.0,38699.0,2025,3,뷰티,소비재
ORD-000044,2025-01-18,Seoul,Beauty,2,159479.0,0.05,2025-01-18,2,159479.0,303010.1,2025,1,뷰티,소비재
ORD-000045,2025-04-16,Busan,Food,10,59728.0,0.1,2025-04-16,10,59728.0,537552.0,2025,4,식품,식품
ORD-000046,2025-01-04,Gwangju,Beauty,3,188425.0,0.0,2025-01-04,3,188425.0,565275.0,2025,1,뷰티,소비재
ORD-000047,2025-02-26,Incheon,Fashion,7,74652.0,0.05,2025-02-26,7,74652.0,496435.8,2025,2,패션,소비재
ORD-000048,2025-03-01,Busan,Electronics,10,253518.0,0.0,2025-03-01,10,253518.0,2535180.0,2025,3,전자제품,내구재
ORD-000049,2025-03-09,Incheon,Electronics,3,93316.0,0.05,2025-03-09,3,93316.0,265950.6,2025,3,전자제품,내구재
ORD-000050,2025-02-19,Unknown,Food,3,181904.0,0.0,2025-02-19,3,181904.0,545712.0,2025,2,식품,식품
ORD-000051,2025-04-30,Gwangju,Fashion,7,253333.0,0.0,2025-04-30,7,253333.0,1773331.0,2025,4,패션,소비재
ORD-000052,2025-04-30,Seoul,Fashion,1,119954.0,0.05,2025-04-30,1,119954.0,113956.3,2025,4,패션,소비재
ORD-000053,2025-02-07,Gwangju,Beauty,9,147332.0,0.15,2025-02-07,9,147332.0,1127089.8,2025,2,뷰티,소비재
ORD-000054,2025-03-15,Unknown,Home,6,136412.0,0.0,2025-03-15,6,136412.0,818472.0,2025,3,생활용품,내구재
ORD-000055,2025-04-15,Incheon,Fashion,6,281691.0,0.0,2025-04-15,6,281691.0,1690146.0,2025,4,패션,소비재
ORD-000056,2025-02-14,Seoul,Beauty,4,203774.0,0.0,2025-02-14,4,203774.0,815096.0,2025,2,뷰티,소비재
ORD-000057,2025-04-11,Incheon,Fashion,10,205292.0,0.0,2025-04-11,10,205292.0,2052920.0,2025,4,패션,소비재
ORD-000058,2025-02-13,Busan,Electronics,1,188822.0,0.15,2025-02-13,1,188822.0,160498.7,2025,2,전자제품,내구재
ORD-000059,2025-04-14,Daegu,Food,3,239824.0,0.15,2025-04-14,3,239824.0,611551.2,2025,4,식품,식품
ORD-000060,2025-04-01,Busan,Food,8,196815.0,0.15,2025-04-01,8,196815.0,1338342.0,2025,4,식품,식품
ORD-000061,2025-01-21,Seoul,Beauty,10,229090.0,0.15,2025-01-21,10,229090.0,1947265.0,2025,1,뷰티,소비재
ORD-000062,2025-04-07,Incheon,Electronics,9,6042.0,0.0,2025-04-07,9,6042.0,54378.0,2025,4,전자제품,내구재
ORD-000063,2025-01-08,Incheon,Home,2,213095.0,0.05,2025-01-08,2,213095.0,404880.5,2025,1,생활용품,내구재
ORD-000064,2025-01-17,Daegu,Fashion,9,298876.0,0.15,2025-01-17,9,298876.0,2286401.4,2025,1,패션,소비재
ORD-000065,2025-02-05,Seoul,Food,5,6122.0,0.0,2025-02-05,5,6122.0,30610.0,2025,2,식품,식품
ORD-000066,2025-04-29,Gwangju,Fashion,10,76021.0,0.0,2025-04-29,10,76021.0,760210.0,2025,4,패션,소비재
ORD-000067,2025-04-16,Seoul,Food,8,241079.0,0.15,2025-04-16,8,241079.0,1639337.2,2025,4,식품,식품
ORD-000068,2025-03-31,Daegu,Food,10,42014.0,0.0,2025-03-31,10,42014.0,420140.0,2025,3,식품,식품
ORD-000069,2025-03-18,Incheon,Home,1,162798.0,0.0,2025-03-18,1,162798.0,162798.0,2025,3,생활용품,내구재
ORD-000070,2025-03-22,Incheon,Food,3,32380.0,0.05,2025-03-22,3,32380.0,92283.0,2025,3,식품,식품
ORD-000071,2025-02-01,Incheon,Electronics,3,234836.0,0.0,2025-02-01,3,234836.0,704508.0,2025,2,전자제품,내구재
